name,author,publisher,date,sales,listprice,price,page,weight,hor,ver,width,isbn13,isbn10
반일 종족주의 ,이영훈,미래사,2019-07-10,"2,388",20000,18000,416,666,151,211,26,9788970873268,8970873260
유럽 도시 기행 1,유시민,생각의길,2019-07-09,"85,671",16500,14850,324,517,145,210,20,9788965135586,8965135583
역사의 쓸모,최태성,다산초당,2019-06-14,"88,896",15000,13500,296,568,147,218,20,9791130621968,1130621960
설민석의 조선왕조실록,설민석,세계사,2016-07-25,"26,676",22000,19800,504,991,165,235,30,9788933870693,8933870695
"총, 균, 쇠",재레드 다이아몬드,문학사상,2005-12-19,"156,051",28000,25200,752,950,148,210,40,9788970127248,8970127240
일본 제국 패망사,존 톨랜드,글항아리,2019-08-12,888,58000,52200,"1,400","1,878",153,224,80,9788967356521,8967356528
세계사를 바꾼 13가지 식물,이나가키 히데히로,사람과나무사이,2019-08-08,"4,422",16500,14850,296,506,140,215,20,9791188635214,1188635212
역사의 역사,유시민,돌베개,2018-06-25,"4,608",16000,14400,340,580,148,225,20,9788971998557,8971998555
에로틱 조선,박영규,웅진지식하우스,2019-07-22,462,18000,16200,322,554,145,215,30,9788901233024,8901233029
설민석의 무도 한국사 특강,설민석,휴먼큐브,2017-11-15,"4,764",22000,19800,436,915,170,240,26,9791196025892,1196025894
학교에서 가르쳐주지 않는 일본사,신상목,뿌리와이파리,2017-08-07,"2,088",15000,13500,276,416,154,215,20,9788964620885,8964620887
세계사를 바꾼 12가지 신소재,사토 겐타로,북라이프,2019-06-25,"9,234",16000,14400,280,482,153,216,18,9791188850624,1188850628
나의 한국현대사,유시민,돌베개,2014-07-07,,18000,16200,420,708,152,225,25,9788971996096,8971996099
설민석의 첫출발 한국사 연표 (보급판),설민석,휴먼큐브,2016-02-14,"4,209",6000,5400,3,106,160,230,5,9791195708031,1195708033
국화와 칼,루스 베네딕트,을유문화사,2008-11-15,,10000,9000,414,587,153,224,30,9788932471389,893247138X
"나의 로망, 로마",김상근,시공사,2019-06-25,"1,434",20000,18000,432,798,152,224,25,9788952797322,8952797329
대한민국 이야기,이영훈,기파랑,2007-05-21,378,13000,11700,326,562,148,210,30,9788991965607,8991965601
본격 한중일 세계사 6,굽시니스트,위즈덤하우스,2019-08-15,"1,122",14800,13320,304,554,152,225,18,9791190182911,1190182912
대한민국 역사,이영훈,기파랑,2013-07-15,660,19500,17550,496,844,152,225,30,9788965239062,8965239060
문명으로 읽는 종교 이야기,홍익희,행성B,2019-08-20,"1,362",28000,25200,660,982,152,225,35,9791164710041,1164710044
나의 문화유산답사기 : 중국편 1 돈황과 하서주랑,유홍준,창비,2019-04-29,798,18000,16200,,,,,,352쪽 | 548g | 142*208*30mm,9788936477127
사쿠라 진다,우치다 타츠루,우주소년,2019-05-31,546,15000,13500,320,401,120,190,21,9791196401016,1196401012
유발 하라리의 르네상스 전쟁 회고록,유발 하라리,김영사,2019-07-18,"1,026",22000,19800,516,806,152,215,28,9788934996873,8934996870
국화와 칼,루스 베네딕트,을유문화사,2019-08-25,"8,808",12000,10800,416,520,153,210,30,9788932474137,8932474133
지리의 힘,팀 마샬,사이,2016-08-01,"101,256",20000,18000,368,538,153,225,30,9788993178692,8993178690
나의 문화유산답사기 : 중국편 2 막고굴과 실크로드의 관문,유홍준,창비,2019-04-29,528,18000,16200,,,,,,348쪽 | 542g | 142*208*30mm,9788936477134
부의 지도를 바꾼 회계의 세계사,다나카 야스히로,위즈덤하우스,2019-06-28,"3,108",16000,14400,400,516,142,210,27,9791190182430,1190182432
역사의 색,댄 존스,윌북(willbook),2019-07-25,192,19800,17820,,,,,,454쪽 | 798g | 153*210*30mm,9791155812273
조선의 미식가들,주영하,휴머니스트,2019-07-29,186,20000,18000,392,570,150,220,20,9791160802788,1160802785
요시다 쇼인 시대를 반역하다,김세진,호밀밭,2018-08-15,"1,092",15000,13500,232,318,133,199,20,9788998937904,8998937905
세종은 과연 성군인가,이영훈,백년동안,2018-03-05,846,12000,10800,244,386,142,210,15,9791186061589,1186061588
오래된 미래,헬레나 노르베리-호지,중앙북스(books),2015-07-01,"14,154",14000,12600,,,,,,364쪽 | 600g | 153*224*30mm,9788927806615
"총, 균, 쇠",재레드 다이아몬드,문학사상,2013-03-04,"49,980",35000,31500,760,"1,064",145,222,40,9788970128856,8970128859
학교에서 가르쳐주지 않는 세계사,신상목,뿌리와이파리,2019-04-22,"1,038",18000,16200,400,572,152,215,20,9788964621158,8964621158
우린 너무 몰랐다,김용옥,통나무,2019-01-28,852,18000,16200,400,602,152,222,30,9788982641374,8982641378
붕괴,애덤 투즈,아카넷,2019-06-24,"1,128",38000,34200,,,,,,"964쪽 | 1,507g | 160*230*50mm",9788957336304
나의 문화유산답사기 : 산사 순례,유홍준,창비,2018-08-24,"6,762",20000,18000,400,588,142,208,30,9788936476694,8936476696
징비록,류성룡,서해문집,2014-11-20,"8,391",11900,10710,320,484,153,224,16,9788974831745,8974831740
35년 1~5 세트,박시백,비아북,2019-05-27,12,71000,63900,"1,500","2,748",171,236,96,9791189426514,118942651X
세계사를 바꾼 10가지 약,사토 겐타로,사람과나무사이,2018-05-10,"11,592",16000,14400,251,410,140,215,20,9791188635108,1188635107
