name,author,publisher,listprice,price,page,isbn10
2019 Win-Q 화학분석기사 필기 단기완성,정현철,시대고시기획 시대교육,26000,23400,540,112545458X
이상심리학의 기초,권석만,학지사,20000,19400,277,8999702901
러닝퍼실리테이션,정강욱,플랜비디자인,18000,16200,244,118958008X
2019 오직 간호대생을 위한 간호사 면접,주선희,홍지문,25000,22500,364,118932282X
캠벨 생명과학 11판,닐 캠벨,바이오사이언스,60000,60000,"1,438",8968240906
일반물리학 1,절 워커,범한서적,28000,28000,731,8971292679
정치학의 이해,서울대학교 정치외교학부 정치학 전공 교수진,(주)박영사,23000,23000,400,1130307190
상처받은 내면아이 치유,존 브래드쇼,학지사,15000,14550,,9788958910060
맨큐의 경제학,그래고리 맨큐,센게이지러닝(Cengage Learning),42000,42000,988,8962184184
현대 이상심리학,권석만,학지사,27000,26190,,9788999701733
현대 심리치료와 상담이론,권석만,학지사,22000,21340,,9788963309262
진보와 빈곤,헨리 조지,현대지성,19800,17820,640,1187142867
시창과 청음연습 1,이성천,음악예술사,5000,4750,,8972960012
SPSS 결과표 작성과 해석 방법,히든그레이스 논문통계팀,한빛아카데미,23000,20700,420,1156643872
포지셔닝 POSITIONING,잭 트라우트,을유문화사,12000,10800,267,8932471134
논문 검색과 쓰기 전략,김성은,한빛아카데미,18900,17960,332,115664254X
줌달의 일반화학,줌달,센게이지러닝(Cengage Learning),56000,56000,"1,168",8962184354
옥스토비의 일반화학,David W. Oxtoby,사이플러스,55000,55000,"1,240",8962184338
선택할 자유,밀튼 프리드만,자유기업원,15000,15000,410,8984290904
2019 오직 간호대생을 위한 간호사 전공필기,주선희,홍지문,15000,13500,184,1190071959
2019 혼자서 터득하는 세무·회계 사무소 업무 가이드,이석정,삼일인포마인,18000,16200,340,8959427659
감각통합 Q&A,김경미,학지사메디컬,15000,15000,220,8990460298
청소년을 위한 백범일지,김구,나남,9800,8820,260,8930088821
근골격해부학 ,정진우,대학서림,18000,18000,219,8969401806
간호사가 말하는 간호사,권혜림,부키,14800,13320,204,898598974X
2019 10회차 간호조무사 실전문제 총정리,은하출판사 편집부,은하출판사,20000,18000,224,893168102X
카레이싱 최후의 비밀,ROSS BENTLEY,골든벨,32000,28800,428,115806084X
영어 습득의 이해,유원호,서강대학교출판부,11000,11000,208,8972733091
전수환 경영학 핵심요약노트 STEP 4,전수환,밀더북,20000,19000,328,
주택임대사업자의 모든 것,지병근,리북스,16000,16000,309,8964242254
사회복지 사례관리론,김성경,공동체,16000,16000,,9791161050393
뉴만 kinesiology 근육뼈대계통의 기능해부학 및 운동학,도널드 뉴만,범문에듀케이션,60000,58200,,9791159431142
교사다움,최명희,공동체,13000,13000,,9788963529622
2020 열정샘의 간호조무사 핵심강의+실전 7회 모의고사,김현미,시대고시기획 시대교육,25000,22500,544,1125455845
성인간호학 하권,황옥남,현문사(유해영),65000,65000,832,1159896127
한국전문소생술 (KALS),대한심폐소생협회 KALS 위원회,군자출판사,10000,10000,196,1159550999
화성학,백병동,수문당,26000,26000,384,898895100X
가족치료의 이해,정문자,학지사,23000,22310,,9788999714924
성인간호학 상권,황옥남,현문사(유해영),65000,65000,785,1159896119
2021 간호조무사 7일 완성 파이널 모의고사,조진희,홍지문,18000,16200,220,1188317210
프로그래머를 위한 확률과 통계,히라오카 카즈유키,길벗,32000,28800,444,1160507821
심리검사의 이해,최정윤,시그마프레스,20000,20000,,9788968666957
맥머리의 유기화학,존 맥머리,사이플러스,58000,58000,"1,219",896218429X
현대사회학,앤서니 기든스,을유문화사,30000,28500,"1,120",8932473722
그림을 통한 아동의 진단과 이해,신민섭,학지사,14000,13580,363,8975489434
공공계약 및 법규 실무,강인옥,광문각,49000,49000,,9788970939506
건축기술지침 Rev. 2 건축 2,대한건축학회,공간예술사,38000,38000,560,8977991048
C언어로 쉽게 풀어쓴 자료구조,천인국,생능출판사,29000,29000,574,8970509712
2019 의학용어,정추영,은하출판사,8000,8000,141,8931681011
인간 이해를 위한 성격심리학,권석만,학지사,25000,24250,,9788999711213
기능해부학,Joseph Muscolino,엘스비어코리아,40000,40000,464,8994961399
닥터 배의 술술 보건의학통계,배정민,한나래,28000,28000,367,8955661282
음악통론과 그 실습,이성천,음악예술사,10000,10000,211,8972960063
프셉마음,드림널스 편집부,드림널스,28000,25200,244,1196713375
국가공인 의료기기 규제과학(RA) 전문가 제2권 : 사후관리,한국의료기기안전정보원,좋은책 차오름,14000,13300,,1196515921
국가공인 의료기기 규제과학(RA) 전문가 제1권 : 시판 전 인허가,한국의료기기안전정보원,좋은책 차오름,28000,26600,,1196515913
마이어스의 심리학개론,데이비드 G. 마이어스,시그마프레스,28000,27160,,9788968666186
쉽게 배우는 소프트웨어 공학,김치수,한빛아카데미,25000,25000,512,1156642051
청소년을 위한 정신의학 에세이,하지현,해냄,15800,14220,276,8965743435
전기 이야기,김석환,대영사,22000,22000,265,8971633182
제과제빵 재료학,조남지,비앤씨월드,20000,18000,278,8988274261
국가공인 의료기기 규제과학(RA) 전문가 제3권 : 품질관리(GMP),한국의료기기안전정보원,좋은책 차오름,34000,32300,,119651593X
프로그래머를 위한 기초 해석학,나카이 에츠지,길벗,25000,22500,296,1160506620
줌달의 일반화학,ZUMDAHL,사이플러스,53000,53000,"1,139",896218432X
KREYSZIG 공업수학 (상),Erwin Kreyszig,범한서적,26000,26000,661,897129244X
심리치료에서 정서를 어떻게 다룰 것인가,레실 S. 그린버그,학지사,18000,17460,399,899351027X
MMPI-2  성격 및 정신병리 평가,"John R. Graham 저 /  이훈진,  문혜신,  박현진,  유성진,  김지영 공역",시그마프레스,35000,35000,,9788958323389
건축기술지침 Rev. 2 건축 1,대한건축학회,공간예술사,38000,38000,592,897799103X
2020 환경직공무원 화학,신동성,세진사,35000,31500,838,1160453403
맨큐의 경제학 연습문제풀이,그래고리 맨큐,한티미디어,13000,13000,323,8962184206
맞춤 OTC 선택가이드,약학정보원,약학정보원,35000,35000,542,8991216781
임상심리검사의 이해,김재환,학지사,22000,21340,,9788999703720
영어 전치사 연구,이기동,교문사,14000,14000,492,8936312839
미디어의 이해,허버트 마셜 매클루언,커뮤니케이션북스,24500,24500,602,8964061519
친절한 투시원근법,어네스트 놀링,비즈앤비즈,13000,11700,224,8992607318
심리도식치료,Jeffrey E. Young 외 공저 / 권석만 외 공역,학지사,20000,19400,,9788958910916
성격심리학,노안영,학지사,24000,23280,592,8999715647
집단상담의 실제,강진령,학지사,23000,22310,,9788999717611
국가공인 의료기기 규제과학(RA) 전문가 제4권 : 임상,한국의료기기안전정보원,좋은책 차오름,11000,10450,,1196515948
스타팅 스트렝스: 바벨훈련의 첫걸음,마크 리피토,대성의학사,32000,32000,,8997436902
건설공사 스마트 핸드북(건축),한국토지주택공사 건설관리처,건설도서,148000,133200,"1,248",8977062330
2019 시대에듀 기계일반 한권으로 끝내기,홍순규,시대고시기획 시대교육,20000,18000,500,1125452323
지역사회간호학 2 ,최희정,현문사(유해영),35000,35000,,1159896879
2021 나합격 금속재료산업기사 필기+실기+무료동영상,이경환,삼원북스,38000,34200,780,1188883070
한국경제사 2,이영훈,일조각,45000,45000,,9788933707241
음향시스템 핸드북,장호준,BIC미디어북스,35000,31500,487,
한국어 문법 총론 1,구본관,집문당,30000,30000,,9788930316736
상담심리학의 이론과 실제,천성문,학지사,20000,20000,,9788999706127
조선과 그 이웃 나라들,I.B. 비숍 / 신복룡 역,집문당,25000,25000,456,8930306799
건축법규 9초이해,서영훈,아키픽셀,39000,35100,511,1196666210
국가공인 의료기기 규제과학(RA) 전문가 제5권 : 해외 인허가 제도,한국의료기기안전정보원,좋은책 차오름,23000,21850,,1196515956
연구방법론,성태제,학지사,22000,22000,478,8999702952
상담의 기술,Clara E. Hill,학지사,20000,19400,550,8963308138
제대로 알고 쓰는 논문 통계분석,노경섭,한빛아카데미,28000,26600,460,1156644402
미시경제학,이준구,문우사,37000,37000,,9791185994598
작문교육론,권순희,사회평론아카데미,23000,23000,492,1188108786
인권법,이준일,홍문사,47000,47000,922,8977704006
반도체란 무엇인가,유영준,(재)파이터치연구원,18000,16200,306,119603334X
치과위생사 국가시험예상문제집,편집부,kms(고문사),45000,45000,280,8973866516
경제학원론,이준구,문우사,35000,35000,,9791185994048
2020 Pacific KNLE 예상문제풀이 6 정신간호학,퍼시픽학술국,퍼시픽북스,17000,16150,474,1163750352
수목해충학,홍기정,향문사,42000,42000,,8971872578
알기쉽게 풀이한 의학용어 ,지제근,아카데미아,38000,38000,672,8959383996
한국경제사 1,이영훈,일조각,45000,45000,,9788933707234
