title,cover,author,publisher,price,page,isbn,category
작은 아씨들 (영화 공식 원작 소설·오리지널 커버),https://image.aladin.co.kr/product/22899/50/cover500/8925568586_3.jpg,루이자 메이 올콧,강미경,18000원 ,,1050g,classic literature
데미안 (10주년 기념 리커버 특별판),https://image.aladin.co.kr/product/22619/21/cover500/k692636934_1.jpg,헤르만 헤세,안인희,9000원 ,,426g,classic literature
초판본 작은 아씨들 1 (1896년 오리지널 초판본 표지디자인),https://image.aladin.co.kr/product/22951/67/cover500/k712637499_1.jpg,루이자 메이 올콧,박지선,유료 (도서 1만5천원 이상 무료) ,,706g,classic literature
작은 아씨들 (영화 원작 소설),https://image.aladin.co.kr/product/19874/38/cover500/k672635431_1.jpg,루이자 메이 올콧,공보경,17800원 ,,955g,classic literature
멋진 신세계,https://image.aladin.co.kr/product/6083/61/cover500/8973814729_2.jpg,올더스 헉슬리,안정효,13800원 ,400,ISBN : 9788973814725,classic literature
초판본 작은 아씨들 1 (1868년 오리지널 초판본 표지디자인 초호화 벨벳 에디션),https://image.aladin.co.kr/product/22951/57/cover500/k792637499_1.jpg,루이자 메이 올콧,박지선,16800원 ,,706g,classic literature
"초판본 데미안 (리커버 한정판, 패브릭 양장)",https://image.aladin.co.kr/product/12440/88/cover500/s142636012_1.jpg,헤르만 헤세,이순학,유료 (도서 1만5천원 이상 무료) ,,407g,classic literature
침묵의 봄,https://image.aladin.co.kr/product/1446/13/cover500/k192531425_2.jpg,레이첼 카슨,김은령,18000원 ,400,ISBN : 9788962630619,classic literature
데미안,https://image.aladin.co.kr/product/26/0/cover500/s742633278_1.jpg,헤르만 헤세,전영애,8000원 ,239,ISBN : 9788937460449,classic literature
페스트,https://image.aladin.co.kr/product/1126/73/cover500/s937462672_2.jpg,알베르 카뮈,김화영,유료 (도서 1만5천원 이상 무료) ,508,ISBN : 9788937462672,classic literature
빨강 머리 앤 (양장),https://image.aladin.co.kr/product/19147/63/cover500/k022635490_1.jpg,루시 모드 몽고메리,애니메이션 <빨강 머리 앤> 원화,16800원 ,,705g,classic literature
1984,https://image.aladin.co.kr/product/41/89/cover500/s122531356_1.jpg,조지 오웰,정회성,유료 (도서 1만5천원 이상 무료) ,444,ISBN : 9788937460777,classic literature
손자병법 (리커버 특별판),https://image.aladin.co.kr/product/22159/11/cover500/k002636318_1.jpg,손자(손무),김원중,무료 ,,545g,classic literature
아리스토텔레스 수사학 (그리스어 원전 완역본),https://image.aladin.co.kr/product/22949/0/cover500/k092637498_1.jpg,아리스토텔레스,박문재,유료 (도서 1만5천원 이상 무료) ,332,ISBN : 9791190398152,classic literature
하멜표류기,https://image.aladin.co.kr/product/40/21/cover500/s072637394_1.jpg,헨드릭 하멜,김태진,유료 (도서 1만5천원 이상 무료) ,144,ISBN : 9788974831752,classic literature
위대한 개츠비 (10주년 기념 리커버 특별판),https://image.aladin.co.kr/product/22619/24/cover500/k622636934_1.jpg,프랜시스 스콧 피츠제럴드,김영하,10500원 ,,438g,classic literature
데미안,https://image.aladin.co.kr/product/22063/42/cover500/k582636916_1.jpg,헤르만 헤세,서상원,유료 (도서 1만5천원 이상 무료) ,320,ISBN : 9791157954919,classic literature
인간 실격,https://image.aladin.co.kr/product/49/16/cover500/893746103x_3.jpg,다자이 오사무,김춘미,유료 (도서 1만5천원 이상 무료) ,191,ISBN : 9788937461033,classic literature
동물농장,https://image.aladin.co.kr/product/4/6/cover500/s93746005x_2.jpg,조지 오웰,도정일,유료 (도서 1만5천원 이상 무료) ,160,ISBN : 9788937460050,classic literature
자기만의 방,https://image.aladin.co.kr/product/9789/92/cover500/8937429047_1.jpg,버지니아 울프,이미애,7800원 ,168,ISBN : 9788937429040,classic literature
단테의 신곡,https://image.aladin.co.kr/product/7601/60/cover500/s422636896_1.jpg,단테 알리기에리,다니구치 에리야,유료 (도서 1만5천원 이상 무료) ,264,ISBN : 9788960304482,classic literature
작은 아씨들 1,https://image.aladin.co.kr/product/980/84/cover500/8901116979_1.jpg,루이자 메이 올콧,유수아,유료 (도서 1만5천원 이상 무료) ,428,ISBN : 9788901116976,classic literature
소크라테스의 변명·크리톤·파이돈·향연 (그리스어 원전 완역본),https://image.aladin.co.kr/product/21679/27/cover500/k252636705_1.jpg,플라톤,박문재,11500원 ,336,ISBN : 9791190398039,classic literature
이방인,https://image.aladin.co.kr/product/21224/66/cover500/8937443848_1.jpg,알베르 카뮈,김화영,유료 (도서 1만5천원 이상 무료) ,280,ISBN : 9788937443848,classic literature
초판본 군주론 (양장),https://image.aladin.co.kr/product/21107/85/cover500/s692636598_1.jpg,니콜로 마키아벨리,이시연,유료 (도서 1만5천원 이상 무료) ,,336g,classic literature
작은 아씨들,https://image.aladin.co.kr/product/22235/88/cover500/k352636720_2.jpg,루이자 메이 올콧,김지혁,14800원 ,,675g,classic literature
자유론,https://image.aladin.co.kr/product/14712/56/cover500/s732635364_1.jpg,존 스튜어트 밀,박문재,7700원 ,256,ISBN : 9791187142447,classic literature
명상록 (그리스어 원전 완역본),https://image.aladin.co.kr/product/13913/34/cover500/k682532424_2.jpg,마르쿠스 아우렐리우스,박문재,12000원 ,272,ISBN : 9791187142379,classic literature
브람스를 좋아하세요...,https://image.aladin.co.kr/product/215/66/cover500/893746179x_3.jpg,프랑수아즈 사강,김남주,유료 (도서 1만5천원 이상 무료) ,160,ISBN : 9788937461798,classic literature
페스트 (무선),https://image.aladin.co.kr/product/7284/49/cover500/s8954638899_2.jpg,알베르 카뮈,유호식,14000원 ,384,ISBN : 9788954638890,classic literature
세상에서 가장 빠른 고전 읽기,https://image.aladin.co.kr/product/21945/86/cover500/k962636500_1.jpg,보도사 편집부,김소영,유료 (도서 1만5천원 이상 무료) ,160,ISBN : 9791190305280,classic literature
호밀밭의 파수꾼,https://image.aladin.co.kr/product/27/97/cover500/s8937460475_1.jpg,제롬 데이비드 샐린저,공경희,유료 (도서 1만5천원 이상 무료) ,288,ISBN : 9788937460470,classic literature
오만과 편견,https://image.aladin.co.kr/product/43/68/cover500/8937460882_3.jpg,제인 오스틴,윤지관,유료 (도서 1만5천원 이상 무료) ,559,ISBN : 9788937460883,classic literature
