book_title,book_author,book_publisher,book_ISBN,book_img_url,book_category_id
안젤리크,기욤 뮈소,밝은세상,9788984374546,http://image.yes24.com/goods/116208935/XL,8
이방인,알베르 까뮈,민음사,9788937443848,http://image.yes24.com/goods/4827613/XL,8
이방인,알베르 까뮈,현대지성,9791139710311,http://image.yes24.com/goods/117366551/XL,8
단순한 열정,아니 에르노,문학동네,9788954619585,http://image.yes24.com/goods/7977274/XL,8
어린 왕자,앙투안 드 생텍쥐페리,열린책들,9788932917245,http://image.yes24.com/goods/22431294/XL,8
브람스를 좋아하세요...,프랑수아즈 사강,민음사,9788937461798,http://image.yes24.com/momo/TopCate388/MidCate007/6256744.jpg,8
왜 나는 너를 사랑하는가,알랭 드 보통,청미래,9788986836837,http://image.yes24.com/goods/115275383/XL,8
페스트,알베르 까뮈,민음사,9788937462672,http://image.yes24.com/goods/4827619/XL,8
자기 앞의 생,로맹 가리,문학동네,9788982816635,http://image.yes24.com/goods/359901/XL,8
나무를 심은 사람,장 지오노,두레,9788974431143,http://image.yes24.com/goods/58959070/XL,8
초판본 어린왕자,앙투안 드 생텍쥐페리,더스토리,9791159039690,http://image.yes24.com/goods/64367118/XL,8
[예스리커버] 장자크 상페 특별판 세트,장자크 상페,열린책들,9788932922997,http://image.yes24.com/goods/116027026/XL,8
낭만적 연애와 그 후의 일상,알랭 드 보통,은행나무,9788956608846,http://image.yes24.com/goods/30547371/XL,8
행성 1,베르나르 베르베르,열린책들,9788932922362,http://image.yes24.com/goods/109553053/XL,8
행성 2,베르나르 베르베르,열린책들,9788932922379,http://image.yes24.com/goods/109553132/XL,8
고리오 영감,오노레 드 발자크,민음사,9788937460180,http://image.yes24.com/goods/1272/XL,8
센 강의 이름 모를 여인,기욤 뮈소,밝은세상,9788984374386,http://image.yes24.com/goods/106189242/XL,8
아노말리,에르베 르 텔리에,민음사,9788937427220,http://image.yes24.com/goods/109560825/XL,8
애린 왕자,최현애,이팝,9791197182204,http://image.yes24.com/goods/96174953/XL,8
어린 왕자,앙투안 드 생텍쥐페리,인디고(글담),9788995772423,http://image.yes24.com/goods/2152057/XL,8
쓸 만한 인간 (리커버 에디션),박정민,상상출판,9791189856502,http://image.yes24.com/goods/77673675/XL,11
나는 예민한 엄마입니다,송희재,북드림,9791191509243,http://image.yes24.com/goods/105295377/XL,1
우리에게 아직 사랑이 남아 있다면,박지영,채륜서,9791185401713,http://image.yes24.com/goods/112012233/XL,11
