book_title,book_author,book_publisher,book_ISBN,book_img_url,book_category_id
치우와 파수꾼의 탑,이준일,문학수첩,9788983923509,http://image.yes24.com/momo/TopCate84/MidCate07/8361273.jpg,8
노을 진 카페에는 그가 산다,김현숙,개미,9788994459011,http://image.yes24.com/momo/TopCate84/MidCate07/8361233.jpg,8
춤추는 하얀 꽃잎,진영돈,한솜미디어,9788959592357,http://image.yes24.com/momo/TopCate84/MidCate07/8369864.jpg,8
하얀손 그림자,박유하,계간문예,9788991926936,http://image.yes24.com/momo/TopCate84/MidCate10/8396078.jpg,8
하늘이여 땅이여 세트,김진명,새움,9788993964172,http://image.yes24.com/momo/TopCate82/MidCate10/8196638.jpg,8
몽유도원 세트,김진명,새움,9788993964127,http://image.yes24.com/momo/TopCate82/MidCate10/8196635.jpg,8
무궁화꽃이 피었습니다 세트,김진명,새움,9788993964097,http://image.yes24.com/momo/TopCate82/MidCate10/8196632.jpg,8
세상에서 가장 아름다운 이별,노희경,북로그컴퍼니,9788994197098,http://image.yes24.com/momo/TopCate271/MidCate001/8196196.jpg,8
걸어가는 달,박규현,계간문예,9788991926912,http://image.yes24.com/momo/TopCate83/MidCate01/8204515.jpg,8
형제,소재원,다인북스,9788994370095,http://image.yes24.com/momo/TopCate82/MidCate10/8192079.jpg,8
강신재 작품집,강신재,지식을만드는지식,9788964063019,http://image.yes24.com/momo/TopCate82/MidCate10/8192685.jpg,8
김정한 작품집,김정한,지식을만드는지식,9788964063057,http://image.yes24.com/momo/TopCate82/MidCate10/8192688.jpg,8
이근영 작품집,이근영,지식을만드는지식,9788964063255,http://image.yes24.com/momo/TopCate82/MidCate10/8192698.jpg,8
물탱크 정류장,태기수,생각의나무,9788964600276,http://image.yes24.com/momo/TopCate82/MidCate10/8192731.jpg,8
모반의 연애편지,김다은,생각의나무,9788964600252,http://image.yes24.com/momo/TopCate82/MidCate10/8192725.jpg,8
진혼일기,민병택,뿌리깊은나무(백순기),9788994371009,http://image.yes24.com/momo/TopCate82/MidCate10/8190078.jpg,8
우리들의 행복한 시간,공지영,오픈하우스,9788993824315,http://image.yes24.com/momo/TopCate449/MidCate003/30826180.jpg,8
변두리 괴수전,이지월,민음사,9788937483035,http://image.yes24.com/momo/TopCate82/MidCate09/8188286.jpg,8
용서를 위하여,한수산,해냄,9788973370702,http://image.yes24.com/momo/TopCate82/MidCate09/8186732.jpg,8
아버지의 동네,김춘권,좋은수필사,9788959256730,http://image.yes24.com/momo/TopCate82/MidCate09/8186169.jpg,8
엄마의 말뚝 2·3,박완서,맑은소리(동반인),9788979521177,http://image.yes24.com/momo/TopCate82/MidCate09/8183880.jpg,8
백치 아다다,계용묵,맑은소리(동반인),9788979521153,http://image.yes24.com/momo/TopCate82/MidCate09/8183842.jpg,8
대한민국 7대 미스터리 세트,김진명,새움,9788993964639,http://image.yes24.com/momo/TopCate142/MidCate01/14109641.jpg,8
별궁의 노래,김용상,순,9788996417026,http://image.yes24.com/momo/TopCate83/MidCate09/8284181.jpg,8
금낭화,이경,도드리,9788996387602,http://image.yes24.com/momo/TopCate83/MidCate08/8271659.jpg,8
강남에 둥지 틀기,박문자,신세림,9788958000952,http://image.yes24.com/momo/TopCate83/MidCate08/8270058.jpg,8
한국을 빛낸 문인들 2009 명작선,명작선 선정위원회,천우,9788979544404,http://image.yes24.com/momo/Noimg_L.jpg,8
나의 삶 나의 숨결,김진홍,황금소나무,9788996383925,http://image.yes24.com/momo/TopCate83/MidCate07/8267292.jpg,8
백악기의 추억,박희섭,자음과모음(이룸),9788957074824,http://image.yes24.com/momo/TopCate407/MidCate010/19632494.jpg,8
삼대,이원호,팬덤,9788956603414,http://image.yes24.com/momo/TopCate83/MidCate05/8247889.jpg,8
가야산 정진불 2,정찬주,랜덤하우스코리아,9788925536453,http://image.yes24.com/momo/TopCate83/MidCate04/8235700.jpg,8
가야산 정진불 1,정찬주,랜덤하우스코리아,9788925536446,http://image.yes24.com/momo/TopCate83/MidCate04/8235697.jpg,8
숲 속의 문,길상,푸른향기,9788992073523,http://image.yes24.com/momo/TopCate83/MidCate05/8240916.jpg,8
운수 좋은 날 외,현진건,청년정신,9788958611059,http://image.yes24.com/momo/TopCate83/MidCate05/8243954.jpg,8
며느리,김현호,답게,9788975742422,http://image.yes24.com/momo/TopCate83/MidCate03/8225143.jpg,8
이완용을 쏴라,김상현,우원북스,9788996433712,http://image.yes24.com/momo/TopCate83/MidCate03/8221663.jpg,8
산은 산 물은 물,정찬주,열림원,9788970635729,http://image.yes24.com/momo/TopCate83/MidCate02/8216934.jpg,8
요루와 휘린의 완벽한 결혼,김문숙,bookin(북인),9788991240544,http://image.yes24.com/momo/TopCate83/MidCate01/8207047.jpg,8
이바디,박삼교희,청어,9788993563832,http://image.yes24.com/momo/TopCate83/MidCate09/8284189.jpg,8
머나먼 귀향,황광남,개미,9788994459004,http://image.yes24.com/momo/TopCate83/MidCate01/8204518.jpg,8
세월,이수남,홍영사,9788992700078,http://image.yes24.com/momo/TopCate82/MidCate10/8199985.jpg,8
무릎 위의 아티스트,김무균,Paper Pen(페이퍼펜),9788996413400,http://image.yes24.com/momo/TopCate82/MidCate10/8199940.jpg,8
아직도 우리에게 이런 사랑 있을까요,김영수,김&정,9788962021448,http://image.yes24.com/momo/TopCate82/MidCate10/8198260.jpg,8
문 MOON 1편,제이영,에세이(ESSAY),9788960233508,http://image.yes24.com/momo/TopCate82/MidCate04/8136987.jpg,8
공중부양 일기,이경원,에세이(ESSAY),9788960233379,http://image.yes24.com/momo/TopCate82/MidCate04/8136983.jpg,8
숨김없이 남김없이,김태용,자음과모음(이룸),9788957074961,http://image.yes24.com/momo/TopCate82/MidCate04/8136016.jpg,8
하룻밤에 읽는 초한지,조병덕,발해그후,9788988301654,http://image.yes24.com/momo/TopCate0001/kepub/L_544930.jpg,8
하늘 · 물 · 땅,허대통,연인(연인M&B),9788962530520,http://image.yes24.com/momo/TopCate82/MidCate04/8134718.jpg,8
루트,김준우,한솜미디어,9788959592265,http://image.yes24.com/momo/TopCate82/MidCate04/8134117.jpg,8
봉순이 언니,공지영,오픈하우스,9788993824285,http://image.yes24.com/momo/TopCate309/MidCate003/30826102(1).jpg,8
