book_title,book_author,book_publisher,book_ISBN,book_img_url,book_category_id
안젤리크,기욤 뮈소,밝은세상,9788984374546,http://image.yes24.com/goods/116208935/XL,8
이방인,알베르 까뮈,민음사,9788937443848,http://image.yes24.com/goods/4827613/XL,8
이방인,알베르 까뮈,현대지성,9791139710311,http://image.yes24.com/goods/117366551/XL,8
단순한 열정,아니 에르노,문학동네,9788954619585,http://image.yes24.com/goods/7977274/XL,8
어린 왕자,앙투안 드 생텍쥐페리,열린책들,9788932917245,http://image.yes24.com/goods/22431294/XL,8
브람스를 좋아하세요...,프랑수아즈 사강,민음사,9788937461798,http://image.yes24.com/momo/TopCate388/MidCate007/6256744.jpg,8
왜 나는 너를 사랑하는가,알랭 드 보통,청미래,9788986836837,http://image.yes24.com/goods/115275383/XL,8
페스트,알베르 까뮈,민음사,9788937462672,http://image.yes24.com/goods/4827619/XL,8
자기 앞의 생,로맹 가리,문학동네,9788982816635,http://image.yes24.com/goods/359901/XL,8
나무를 심은 사람,장 지오노,두레,9788974431143,http://image.yes24.com/goods/58959070/XL,8
초판본 어린왕자,앙투안 드 생텍쥐페리,더스토리,9791159039690,http://image.yes24.com/goods/64367118/XL,8
[예스리커버] 장자크 상페 특별판 세트,장자크 상페,열린책들,9788932922997,http://image.yes24.com/goods/116027026/XL,8
낭만적 연애와 그 후의 일상,알랭 드 보통,은행나무,9788956608846,http://image.yes24.com/goods/30547371/XL,8
행성 1,베르나르 베르베르,열린책들,9788932922362,http://image.yes24.com/goods/109553053/XL,8
행성 2,베르나르 베르베르,열린책들,9788932922379,http://image.yes24.com/goods/109553132/XL,8
고리오 영감,오노레 드 발자크,민음사,9788937460180,http://image.yes24.com/goods/1272/XL,8
센 강의 이름 모를 여인,기욤 뮈소,밝은세상,9788984374386,http://image.yes24.com/goods/106189242/XL,8
아노말리,에르베 르 텔리에,민음사,9788937427220,http://image.yes24.com/goods/109560825/XL,8
애린 왕자,최현애,이팝,9791197182204,http://image.yes24.com/goods/96174953/XL,8
어린 왕자,앙투안 드 생텍쥐페리,인디고(글담),9788995772423,http://image.yes24.com/goods/2152057/XL,8
고양이 1,베르나르 베르베르,열린책들,9788932919126,http://image.yes24.com/goods/60896840/XL,8
잃어버린 시간을 찾아서 1-6 세트,마르셀 프루스트,민음사,9788937432361,http://image.yes24.com/goods/23893888/XL,8
집착,아니 에르노,문학동네,9788954685603,http://image.yes24.com/goods/108239190/XL,8
"당신, 거기 있어줄래요? Seras-tu la?",기욤 뮈소,밝은세상,9788984374409,http://image.yes24.com/goods/106228445/XL,8
탐닉,아니 에르노,문학동네,9788954685597,http://image.yes24.com/goods/108239175/XL,8
고양이 2,베르나르 베르베르,열린책들,9788932919133,http://image.yes24.com/goods/60896871/XL,8
야간비행,앙투안 드 생텍쥐페리,문학동네,9788954651868,http://image.yes24.com/goods/62001724/XL,8
잃어버린 시간을 찾아서 7~13 세트,마르셀 프루스트,민음사,9788937456107,http://image.yes24.com/goods/115027399/XL,8
초판본 웃는 남자,빅토르 위고,더스토리,9791159039782,http://image.yes24.com/goods/84934310/XL,8
레 미제라블 세트,빅토르 위고,민음사,9788937486104,http://image.yes24.com/momo/TopCate372/MidCate005/21381299.jpg,8
남자의 자리,아니 에르노,1984Books(일구팔사북스),9791190533140,http://image.yes24.com/goods/109580377/XL,8
부끄러움,아니 에르노,비채,9788934995388,http://image.yes24.com/goods/72264604/XL,8
한 여자,아니 에르노,열린책들,9788932915708,http://image.yes24.com/goods/7114392/XL,8
꾸뻬 씨의 행복 여행,프랑수아 를로르,오래된미래,9788995501443,http://image.yes24.com/momo/TopCate423/MidCate003/7817669.jpg,8
반항하는 인간,알베르 까뮈,민음사,9788937463839,http://image.yes24.com/goods/102350832/XL,8
세월,아니 에르노,1984Books(일구팔사북스),9791190533126,http://image.yes24.com/goods/109580345/XL,8
브람스를 좋아하세요...,프랑수아즈 사강,민음사,9788937442322,http://image.yes24.com/goods/104739089/XL,8
구토,장 폴 사르트르,문예출판사,9788931021516,http://image.yes24.com/goods/96651059/XL,8
패배의 신호,프랑수아즈 사강,녹색광선,9791196554866,http://image.yes24.com/goods/105751260/XL,8
문명 1,베르나르 베르베르,열린책들,9788932921037,http://image.yes24.com/goods/101758671/XL,8
연인,마르그리트 뒤라스,민음사,9788937461446,http://image.yes24.com/momo/TopCate388/MidCate007/5562059.jpg,8
어린왕자,앙투안 드 생텍쥐페리,새움,9791187192596,http://image.yes24.com/goods/49855699/XL,8
마담 보바리,구스타브 플로베르,민음사,9788937460364,http://image.yes24.com/momo/TopCate388/MidCate007/38761554.jpg,8
파피용,베르나르 베르베르,열린책들,9788932907741,http://image.yes24.com/momo/TopCate64/MidCate04/6338724.jpg,8
초판본 페스트 : 초호화 스카이버(양피가죽) 금장 에디션,알베르 까뮈,더스토리,9791164453337,http://image.yes24.com/goods/92857108/XL,8
페스트,알베르 까뮈,문학동네,9788954638890,http://image.yes24.com/goods/23629490/XL,8
얼굴 빨개지는 아이,장자크 상페,열린책들,9788932919096,http://image.yes24.com/goods/65496174/XL,8
시지프 신화,알베르 까뮈,열린책들,9788932912554,http://image.yes24.com/goods/92078620/XL,8
얼어붙은 여자,아니 에르노,레모출판사,9791196595289,http://image.yes24.com/goods/98896405/XL,8
"필사의 힘 : 생텍쥐페리처럼, 어린 왕자 따라쓰기",앙투안 드 생텍쥐페리,미르북컴퍼니,9791155519776,http://image.yes24.com/momo/TopCate527/MidCate008/52674387.jpg,8
어린 왕자,앙투안 드 생텍쥐페리,문학동네,9788954603096,http://image.yes24.com/goods/2543067/XL,8
고독한 산책자의 몽상,장 자크 루소,문학동네,9788954636636,http://image.yes24.com/momo/TopCate0001/kepub/L_484411.jpg,11
목로주점 1,에밀 졸라,문학동네,9788954616850,http://image.yes24.com/momo/TopCate0001/kepub/L_105412.jpg,8
알베르 카뮈 대표작 세트,알베르 까뮈,민음사,9788937433092,http://image.yes24.com/momo/TopCate858/MidCate006/85751035.jpg,8
자살가게,장 퇼레,열림원,9791170401452,http://image.yes24.com/goods/115836140/XL,8
문명 2,베르나르 베르베르,열린책들,9788932921044,http://image.yes24.com/goods/101758676/XL,8
목로주점 2,에밀 졸라,문학동네,9788954616867,http://image.yes24.com/momo/TopCate0001/kepub/L_105413.jpg,8
살아 있는 자를 수선하기,마일리스 드 케랑갈,열린책들,9788932918082,http://image.yes24.com/goods/42749468/XL,8
여자아이 기억,아니 에르노,레모출판사,9791191861167,http://image.yes24.com/goods/115777298/XL,8
나무,베르나르 베르베르,열린책들,9788932907871,http://image.yes24.com/momo/TopCate62/MidCate02/6111714.jpg,8
구해줘 Sauve-moi,기욤 뮈소,밝은세상,9788984374393,http://image.yes24.com/goods/106228269/XL,8
어린 왕자 (생텍쥐페리 탄생 120주년 기념 에디션),앙투안 드 생텍쥐페리,유나(YUNA),9791188364220,http://image.yes24.com/goods/94408075/XL,8
인생은 소설이다,기욤 뮈소,밝은세상,9788984374164,http://image.yes24.com/goods/95327654/XL,8
어린 왕자 팝업북,앙투안 드 생텍쥐페리,문학동네,9788954650724,http://image.yes24.com/goods/62758174/XL,8
새들은 페루에 가서 죽다,로맹 가리,문학동네,9788954604062,http://image.yes24.com/momo/TopCate988/MidCate007/368844.jpg,8
가벼운 마음,크리스티앙 보뱅,1984Books(일구팔사북스),9791190533157,http://image.yes24.com/goods/112183978/XL,8
심령들이 잠들지 않는 그곳에서,조나탕 베르베르,열린책들,9788932922942,http://image.yes24.com/goods/116775861/XL,8
고슴도치의 우아함,뮈리엘 바르베리,문학동네,9788954638173,http://image.yes24.com/momo/TopCate661/MidCate009/66082391.jpg,8
잠 1,베르나르 베르베르,열린책들,9788932918372,http://image.yes24.com/goods/40997131/XL,8
잃어버린 시간을 찾아서 1,마르셀 프루스트,민음사,9788937485619,http://image.yes24.com/goods/7532747/XL,8
마음의 심연,프랑수아즈 사강,민음사,9788937442339,http://image.yes24.com/goods/104739081/XL,8
이방인,알베르 까뮈,새움,9791190473767,http://image.yes24.com/goods/107056346/XL,8
기억 2,베르나르 베르베르,열린책들,9788932920344,http://image.yes24.com/goods/90248133/XL,8
레 미제라블 1~2 (합본 특별판),빅토르 위고,민음사,9788937444470,http://image.yes24.com/goods/102644357/XL,8
죽음 2,베르나르 베르베르,열린책들,9788932919683,http://image.yes24.com/goods/73162490/XL,8
레미제라블,빅토르 위고,서교출판사,9791185889993,http://image.yes24.com/goods/64991452/XL,8
잠 2,베르나르 베르베르,열린책들,9788932918389,http://image.yes24.com/goods/40997171/XL,8
파리의 노트르담,빅토르 위고,작가정신,9788972883609,http://image.yes24.com/goods/3662910/XL,8
잃어버린 시간을 찾아서 12,마르셀 프루스트,민음사,9788937485725,http://image.yes24.com/goods/115026775/XL,8
내일,기욤 뮈소,밝은세상,9788984371286,http://image.yes24.com/momo/TopCate302/MidCate006/30158059.jpg,8
초판본 이방인,알베르 까뮈,더스토리,9791164452194,http://image.yes24.com/goods/89643965/XL,8
적과 흑 1,스탕달,민음사,9788937460951,http://image.yes24.com/momo/TopCate388/MidCate007/1133636.jpg,8
오페라의 유령,가스통 르루,북레시피,9791190489737,http://image.yes24.com/goods/116751962/XL,8
개미 (1),베르나르 베르베르,열린책들,9788932903507,http://image.yes24.com/momo/TopCate409/MidCate007/35992298.jpg,8
종이 여자,기욤 뮈소,밝은세상,9788984371071,http://image.yes24.com/momo/TopCate445/MidCate005/42874524.jpg,8
빈 옷장,아니 에르노,1984Books(일구팔사북스),9791190533188,http://image.yes24.com/goods/114336845/XL,8
기억 1,베르나르 베르베르,열린책들,9788932920337,http://image.yes24.com/goods/90248119/XL,8
발자크와 바느질하는 중국소녀,다이 시지에,현대문학,9788972753162,http://image.yes24.com/momo/TopCate45/MidCate01/4409412.jpg,8
적과 흑 2,스탕달,민음사,9788937460968,http://image.yes24.com/momo/TopCate388/MidCate007/1133627.jpg,8
타나토노트 세트,베르나르 베르베르,열린책들,9788932903194,http://image.yes24.com/goods/11573815/XL,8
개미 세트,베르나르 베르베르,열린책들,9788932903491,http://image.yes24.com/goods/4127879/XL,8
좁은문,앙드레 지드,문예출판사,9788931004663,http://image.yes24.com/momo/TopCate486/MidCate004/6417741.jpg,8
에린 왕자,앙투안 드 생텍쥐페리,이팝,9791197182235,http://image.yes24.com/goods/105248714/XL,8
항해일지,드니 게즈,효형출판,9788958722083,http://image.yes24.com/goods/115093622/XL,19
잃어버린 시간을 찾아서 13,마르셀 프루스트,민음사,9788937485732,http://image.yes24.com/goods/115026805/XL,8
별,알퐁스 도데,인디북,9788958561002,http://image.yes24.com/momo/TopCate61/MidCate10/6094306.jpg,8
기 드 모파상,기 드 모파상,현대문학,9788972756705,http://image.yes24.com/momo/TopCate379/MidCate009/37883908.jpg,8
개미 (2),베르나르 베르베르,열린책들,9788932903514,http://image.yes24.com/momo/TopCate408/MidCate010/35992301.jpg,8
구토,장 폴 사르트르,문예출판사,9788931001839,http://image.yes24.com/momo/TopCate347/MidCate005/10932494.jpg,8
전락,알베르 까뮈,책세상,9788970131108,http://image.yes24.com/momo/TopCate03/MidCate02/216344.jpg,8
해저 2만리,쥘 베른,작가정신,9788972883548,http://image.yes24.com/goods/3510660/XL,8
죽음 1,베르나르 베르베르,열린책들,9788932919676,http://image.yes24.com/goods/73162483/XL,8
잃어버린 시간을 찾아서 4,마르셀 프루스트,민음사,9788937485640,http://image.yes24.com/goods/12659226/XL,8
제3인류 1,베르나르 베르베르,열린책들,9788932916378,http://image.yes24.com/momo/TopCate295/MidCate007/28940992.jpg,8
제3인류 2,베르나르 베르베르,열린책들,9788932916385,http://image.yes24.com/momo/TopCate293/MidCate001/28940988.jpg,8
나는 나의 밤을 떠나지 않는다,아니 에르노,열림원,9791170400479,http://image.yes24.com/goods/102835919/XL,8
오페라의 유령,가스통 르루,문학동네,9788982814327,http://image.yes24.com/goods/229796/XL,8
푸른 행성이 있었다,프랑수아 를로르,마시멜로,9788947548601,http://image.yes24.com/goods/115309749/XL,8
타키니아의 작은 말들,마르그리트 뒤라스,녹색광선,9791196554835,http://image.yes24.com/goods/92078998/XL,8
위험한 관계,윤진,문학과지성사,9788932018287,http://image.yes24.com/momo/TopCate60/MidCate04/5932324.jpg,8
일러스트 자기 앞의 생,로맹 가리,문학동네,9788954650700,http://image.yes24.com/goods/60637934/XL,8
삼총사 1,알렉상드르 뒤마,시공사,9788952762993,http://image.yes24.com/momo/TopCate146/MidCate02/14510545.jpg,8
골짜기의 백합,오노레 드 발자크,을유문화사,9788932403342,http://image.yes24.com/goods/3022379/XL,8
작가들의 비밀스러운 삶,기욤 뮈소,밝은세상,9788984373853,http://image.yes24.com/goods/82892528/XL,8
여름밤 열 시 반,마르그리트 뒤라스,문학과지성사,9788932037578,http://image.yes24.com/goods/91581679/XL,8
말,장 폴 사르트르,민음사,9788937461897,http://image.yes24.com/momo/TopCate388/MidCate007/6612034.jpg,8
음악 혐오 (한정판 리커버 에디션),파스칼 키냐르,프란츠,9791195949946,http://image.yes24.com/goods/43311615/XL,11
이방인,알베르 까뮈,자화상,9791189413507,http://image.yes24.com/goods/71973712/XL,8
어린 왕자 영어판 The Little Prince 더 리틀 프린스,앙투안 드 생텍쥐페리,소와다리,9788998046330,http://image.yes24.com/momo/TopCate336/MidCate006/33497060.jpg,8
"한 달 후, 일 년 후",프랑수아즈 사강,소담출판사,9791160272857,http://image.yes24.com/goods/108045459/XL,8
미지의 걸작,오노레 드 발자크,녹색광선,9791196554804,http://image.yes24.com/goods/68153335/XL,8
