title,author,publisher,price,isbn,img_url,category
불편한 편의점(40만부 기념 벚꽃 에디션),김호연,나무옆의자,14000,9791161571188,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791161571188.jpg,소설
불편한 편의점 2(단풍 에디션),김호연,나무옆의자,14000,9791161571379,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791161571379.jpg,소설
아버지의 해방일지,정지아,창비,15000,9788936438838,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788936438838.jpg,소설
구의 증명,최진영,은행나무,8000,9788956608556,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788956608556.jpg,소설
이토록 평범한 미래,김연수,문학동네,14000,9788954680004,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954680004.jpg,소설
메리골드 마음 세탁소,윤정은,북로망스,15000,9791191891287,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191891287.jpg,소설
하얼빈,김훈,문학동네,16000,9788954699914,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954699914.jpg,소설
홈 스위트 홈(제46회 이상문학상 작품집 2023년),최진영,문학사상,15500,9788970125640,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788970125640.jpg,소설
모순,양귀자,쓰다,13000,9788998441012,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788998441012.jpg,소설
사랑의 이해,이혁진,민음사,15000,9788937439933,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937439933.jpg,소설
작별인사,김영하,복복서가,14000,9791191114225,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191114225.jpg,소설
달러구트 꿈 백화점(레인보우 에디션),이미예,팩토리나인,13800,9791165341909,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791165341909.jpg,소설
난장이가 쏘아올린 작은 공,조세희,이성과힘,13000,9788995151204,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788995151204.jpg,소설
종의 기원,정유정,은행나무,13000,9788956609959,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788956609959.jpg,소설
"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,10000,9791190174756,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791190174756.jpg,소설
밝은 밤,최은영,문학동네,14500,9788954681179,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954681179.jpg,소설
달러구트 꿈 백화점 2(레인보우 에디션),이미예,팩토리나인,13800,9791165343729,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791165343729.jpg,소설
전란의 소용돌이 속에서,박희병,돌베개,9500,9788971992852,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788971992852.jpg,소설
지구 끝의 온실,김초엽,자이언트북스,15000,9791191824001,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191824001.jpg,소설
"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,15000,9791197377143,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791197377143.jpg,소설
