title,author,publisher,price,isbn,img_url,category
1984,조지 오웰,민음사,9500,9788937460777,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460777.jpg,소설
호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,10000,9788937460470,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460470.jpg,소설
동물농장,조지 오웰,민음사,8000,9788937460050,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460050.jpg,소설
달과 6펜스,서머싯 몸,민음사,10000,9788937460388,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460388.jpg,소설
오만과 편견,제인 오스틴,민음사,11000,9788937460883,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460883.jpg,소설
노인과 바다,어니스트 헤밍웨이,민음사,8000,9788937462788,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937462788.jpg,소설
두 도시 이야기,찰스 디킨스,시공사,22000,9788952751072,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788952751072.jpg,소설
파리대왕,윌리엄 골딩,민음사,8500,9788937460197,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460197.jpg,소설
프랑켄슈타인,메리 셸리,문학동네,11000,9788954618373,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954618373.jpg,소설
위대한 개츠비,F. 스콧 피츠제럴드,민음사,9000,9788937460753,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460753.jpg,소설
갈매기의 꿈(완결판),리처드 바크,나무옆의자,12800,9791161570341,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791161570341.jpg,소설
멋진 신세계,올더스 헉슬리,문예출판사,11500,9788931010831,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788931010831.jpg,소설
제5도살장,커트 보니것,문학동네,12500,9788954643252,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954643252.jpg,소설
동물농장,조지 오웰,열린책들,8800,9788932909707,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788932909707.jpg,소설
셰익스피어 4대 비극 세트,윌리엄 셰익스피어,민음사,22800,9788937486111,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937486111.jpg,소설
오만과 편견(초판본)(1894년 오리지널 초판본 표지디자인),제인 오스틴,더스토리,16800,9791164450800,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791164450800.jpg,소설
대성당,레이먼드 카버,문학동네,13500,9788954624862,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954624862.jpg,소설
면도날,서머싯 몸,민음사,13000,9788937462146,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937462146.jpg,소설
1984,조지 오웰,소담출판사,14800,9791160272680,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791160272680.jpg,소설
